PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	BRULON, VANESSA; PECI, ALKETA		Entre consensos e discordâncias: estratégias de legitimação no campo burocrático do Estado em ação nas favelas	Entre consensos y discordancias: estrategias de legitimación en el campo burocrático del Estado en acción en las favelas	Between consensus and dissension: legitimation strategies in the bureaucratic field of State in action in favelas		Cadernos EBAPE.BR	Portuguese	research-article	Bureaucratic field of State; Legitimation strategies; Favelas	Campo burocrático del Estado; Estrategias de legitimación; Favelas	Campo burocrático do Estado; Estratégias de legitimação; Favelas		Abstract This article aims to analyze the legitimation strategies used by agents of the State field in action in favelas, as a way to bring light to the disputes in the field. Based on Bourdieu’s theoretical perspective and in ethnographic field research in two favelas of Rio de Janeiro, the study conducts a rhetorical analysis on the discourse of the agents of the field, to access their legitimation strategies. The work advances by highlighting the logic behind the agents’ discourses as forces that drive and shape the dynamics of the field.	Resumen En este artículo, se pretende analizar las estrategias de legitimación utilizadas por los agentes del campo del Estado en acción en las favelas, como forma de traer luz a las disputas en el campo. Con base en la perspectiva teórica de Bourdieu, en una investigación de campo de inspiración etnográfica en dos favelas cariocas, fue posible investigar, por medio del análisis retórico, el discurso de los agentes del campo, buscando acceder a las estrategias de legitimación por ellos utilizadas. El trabajo avanza al apuntar hacia las lógicas detrás de los discursos de los agentes como fuerzas que impulsan y moldean la dinámica del campo.	Resumo Este artigo analisa as estratégias de legitimação utilizadas pelos agentes do campo do Estado em ação nas favelas, com vistas a trazer luz às disputas no campo. Com base na perspectiva teórica de Pierre Bourdieu, em uma pesquisa de campo de inspiração etnográfica realizada em duas favelas cariocas, foi possível investigar, por meio de análise retórica, o discurso dos agentes do campo, buscando acessar as estratégias de legitimação por eles utilizadas. O trabalho avança ao apontar as lógicas por trás dos discursos dos agentes como forças que impulsionam e moldam a dinâmica do campo. Ainda, o uso de argumentos de presença por todos os agentes do campo aponta a necessidade da apresentação de resultados materiais derivados de ações desempenhadas por agentes do Estado. Acima de tudo, a existência de disputas, guiadas por lógicas diversas, revelam que há uma liberdade fundamental para pensamentos e premissas diferentes, em nome de um mesmo Estado.		[PECI, ALKETA] Fundação Getúlio Vargas, Brazil; [BRULON, VANESSA] Universidade Federal do Rio de Janeiro, Brazil					21	0	0	0	0	Fundação Getulio Vargas, Escola Brasileira de Administração Pública e de Empresas			1679-3951	09	2019	17	3	474	494	10.1590/1679-395174048	Management	SciELO Brazil	Business & Economics	SCIELO:S1679-39512019000300474	gold				
J	Cavalcante, Ney Wagner Freitas; Franco, Camila; Almeida, Victor; Freitas, Flavia d'Albergaria; Tavares, Elaine		Smart Grid na América Latina: Caso Ampla de Inovação no Setor Elétrico	The Smart Grid in Latin America: Ampla as an Example of Innovation in the Electricity Sector			Revista de Administração Contemporânea	Portuguese	case-report	innovation; energy; research and development; smart city; Smart Grid		inovação; energia; pesquisa e desenvolvimento; cidade inteligente; Smart Grid		Abstract This case study presents a dilemma that confronted Ramon Gonzales, a telecommunications engineer in the Research and Development Department of Ampla, one of the largest electricity distributors in Rio de Janeiro. It occurred in 2010 when the company's executives faced several challenges as they were developing a project that would make Buzios a smart city in terms of electricity, part of the so-called smart grid. This case is of interest in relation to Innovation in disciplines such as the Strategic Management of Technology and Innovation. It is expected that students will be able to discuss concepts of innovation, including barriers, ease of adoption, types, degrees, inputs, advantages and challenges. By discussing this case study, it will also be possible to address aspects related to collaborative participation and other intervening factors that transcend the technological aspects of implementing smart cities.		Resumo Este caso apresenta o dilema vivido por Ramon Gonzales, engenheiro de telecomunicações do setor de Pesquisa e Desenvolvimento da AMPLA, uma das maiores distribuidoras de energia elétrica do Rio de Janeiro. O caso se passa no ano de 2010 quando os executivos da empresa enfrentavam diversos desafios relacionados à distribuição de energia ao mesmo tempo em que implantavam o projeto que tornaria Búzios uma cidade inteligente no que tange à energia elétrica, a chamada Smart Grid . Esse caso é indicado para sessões que tratem sobre o tema da Inovação em disciplinas como Gestão Estratégica de Tecnologia e ainda Inovação. Espera-se que os alunos discutam os conceitos de Inovação, tais como barreiras, facilidades na adoção, tipos, graus, inputs , vantagens e desafios. Além disso, mediante a discussão do caso, é possível abordar também aspectos relacionados à participação colaborativa e outros fatores intervenientes que transcendem os aspectos tecnológicos para a implantação de Cidades Inteligentes. JEL Code: K32, O32, O35.		[Cavalcante, Ney Wagner Freitas; Franco, Camila; Almeida, Victor; Freitas, Flavia d'Albergaria; Tavares, Elaine] Universidade Federal do Rio de Janeiro, Brazil					26	0	0	0	0	Associação Nacional de Pós-Graduação e Pesquisa em Administração			1982-7849	06	2019	23	3	416	435	10.1590/1982-7849rac2019170128	Management	SciELO Brazil	Business & Economics	SCIELO:S1415-65552019000300416	gold				
J	ERBISTI, MARCOS; SUAREZ, MARIBEL CARVALHO		AD BLOCKING: DISCURSOS DE ADOÇÃO E DE ANTICONSUMO DA PUBLICIDADE	AD BLOCKING: ADOPTION DISCOURSES AND ADVERTISING ANTI-CONSUMPTION	Ad blocking: Discursos de adopción y de anticonsumo de la publicidad		Revista de Administração de Empresas	Portuguese	research-article	Ad blocker; anti-consumption; resistance; power; online advertising	Ad blocker; anticonsumo; resistência al consumo; poder; publicidad online	Ad blocker; anticonsumo; resistência; poder; publicidade on-line		ABSTRACT The present study investigates the discourses on the use of ad blockers. Based on in-depth interviews with consumers who have activated blockers, three discourses emerged concerning this new technology: 1) Autonomy and control of advertising effects; 2) Exchanges on the Internet: asymmetry, paradoxes, and search for equity; and 3) Efficiency and convenience. Departing from these results, this study discusses the positioning of anti-consumption studies as the study of "reasons against" consumption. The paper proposes complementary approaches to the anti-consumption research, founded less on the intentional and conscious aspects of consumers and more on the notion of power as an entity disputed by the actors.	RESUMEN El presente estudio investiga las narrativas que constituyen el discurso de los consumidores en la adopción de ad blockers. Basados en entrevistas en profundidad con consumidores que activaron ad blockers, se identificaron tres discursos principales en torno a esta nueva tecnología: 1) Autonomía y control de los efectos de la publicidad; 2) Intercambios en Internet: asimetría, paradojas y búsqueda de equidad, y 3) Eficiencia y conveniencia. A partir de los resultados, se discute el posicionamiento de los estudios de anticonsumo como el estudio de las "razones contra" el consumo. El trabajo propone enfoques complementarios en la investigación de anticonsumo, menos basados en los aspectos intencionales y conscientes de los consumidores y en la noción de poder como entidad disputada por los actores.	RESUMO A presente pesquisa investiga os discursos em torno do uso dos ad blockers. A partir de entrevistas em profundidade com consumidores que ativaram bloqueadores, três discursos emergiram em torno dessa tecnologia: 1) autonomia e controle dos efeitos da publicidade; 2) trocas na internet: assimetria, paradoxos e busca de equidade e 3) eficiência e conveniência. A partir desses resultados, discute-se o posicionamento dos estudos de anticonsumo como o estudo das "razões contra" o consumo. O trabalho propõe abordagens complementares na pesquisa de anticonsumo, menos baseadas nos aspectos intencionais e conscientes dos consumidores e na noção de poder como entidade disputada pelos atores.		[ERBISTI, MARCOS; SUAREZ, MARIBEL CARVALHO] Universidade Federal do Rio de Janeiro, Brazil		Suarez, Maribel C./C-2948-2013	Suarez, Maribel C./0000-0001-9736-5273		49	0	0	0	0	Fundação Getulio Vargas, Escola de Administração de Empresas de S.Paulo			2178-938X	06	2019	59	3	170	182	10.1590/s0034-759020190303	Management	SciELO Brazil	Business & Economics	SCIELO:S0034-75902019000300170	gold				
J	Moraes, Ricardo Kalil; Wanke, Peter Fernandes		Impacto do BNDES na eficiência da indústria siderúrgica: aplicação do modelo Malmquist de dois estágios	Impacto del BNDES sobre la eficiencia de la industria siderúrgica: aplicación del modelo Malmquist de dos etapas	BNDES’ impact on steel industry efficiency: a two-stage Malmquist model usage		Cadernos EBAPE.BR	Portuguese	research-article	BNDES; Malmquist Index; Efficiency; Steel industry	BNDES; Índice de Malmquist; Eficiencia; Industria siderúrgica	BNDES; Índice de Malmquist; Eficiência; Indústria siderúrgica		Abstract Using two-stage Malmquist-DEA analysis, this article aims to evaluate how the Brazilian National Development Bank - BNDES impacts the performance of the steel industry. The study conducts a Malmquist Index decomposition and nonlinear robust regression, testing the impact of contextual variables. The research hypothesis of positive impact over steel industry performance cannot be supported by the model’s results, which suggests a negative coefficient on the catching up effect. Few examples of quantitative research on national development can be highlighted, mainly focused on theoretical and qualitative issues. The study contributes to the field by making use of a settled methodology to highlight and measure firms efficiency performance. Nevertheless, due to limitations derived from the sample selected and the applied methodology, further research must be carried out, mainly to deal with social outcomes derived from this kind of public policy.	Resumen Utilizando el modelo Malmquist-DEA de dos etapas, el presente artículo busca evaluar cómo el BNDES impacta el desempeño de la industria siderúrgica. Para ello, se realiza la descomposición del índice de Malmquist y regresión no lineal robusta para testar el impacto de las variables contextuales. La hipótesis de la investigación de impacto positivo sobre la industria siderúrgica no es soportada por los resultados del modelo, lo que indica un coeficiente negativo sobre lo efecto catching up. Se pueden destacar pocos ejemplos de investigación cuantitativa sobre el tema, la mayoría con foco teórico o cualitativo. Este artículo contribuye a este campo de estudio al adoptar una metodología establecida para la identificación y medición del desempeño de eficiencia de las firmas. Sin embargo, en razón de las limitaciones de la muestra seleccionada y de la metodología aplicada, son necesarias nuevas investigaciones, principalmente para evaluar los resultados sociales derivados de ese tipo de política pública.	Resumo Utilizando o modelo Malmquist de análise envoltória de dados (Data Envelopment Analysis - DEA) de dois estágios, este artigo busca avaliar como o Banco Nacional de Desenvolvimento Econômico e Social (BNDES) impacta o desempenho da indústria siderúrgica. Para tanto, são conduzidas a decomposição do índice de Malmquist e a regressão não linear robusta para testar o impacto das variáveis contextuais consideradas. A hipótese da pesquisa de impacto positivo sobre a indústria siderúrgica não é suportada pelos resultados do modelo, indicando um coeficiente negativo sobre o efeito catching up. Pode-se destacar poucos exemplos de pesquisa quantitativa sobre o tema, a maioria com foco teórico ou qualitativo. Este artigo contribui com o campo de pesquisa ao adotar uma metodologia estabelecida para a identificação e a mensuração do desempenho de eficiência das firmas. Entretanto, em razão de limitações da amostra selecionada e da metodologia aplicada, há necessidade de novas pesquisas, principalmente para avaliar os resultados sociais desse tipo de política pública.		[Moraes, Ricardo Kalil; Wanke, Peter Fernandes] Universidade Federal do Rio de Janeiro, Brazil			Moraes, Ricardo/0000-0002-2234-6622		52	0	0	0	0	Fundação Getulio Vargas, Escola Brasileira de Administração Pública e de Empresas			1679-3951	06	2019	17	2	229	246	10.1590/1679-395172140	Management	SciELO Brazil	Business & Economics	SCIELO:S1679-39512019000200229	gold				
J	PADULA, RAPHAEL; FIORI, JOSÉ LUÍS		Geopolítica e Desenvolvimento em Petty, Hamilton e List	Geopolitics and Development in Petty, Hamilton and List			Brazilian Journal of Political Economy	Portuguese	research-article	International Political Economy; Development; Security; Economic Nationalism		Economia Política Internacional; Desenvolvimento; Segurança; Nacionalismo Econômico		ABSTRACT This paper argues that the views of Petty, Hamilton, and List considered the “external threat” matter of countries a fundamental dimension of their economic development, and therefore thought national economies not only in terms of economic progress, but also as an instrument for political independence, military sovereignty and national security. Thus, the “external threat” is used to prioritize strategic objectives and direct the productive structure and the generation of income to certain sectors considered more relevant. Finally, it is argued that this conception is absent in Latin American thought and originates the discipline of International Political Economy.		RESUMO Este artigo argumenta que as visões de Petty, Hamilton e List consideravam o problema da “ameaça externa” dos países uma dimensão fundamental do seu desenvolvimento econômico e, por isso, pensavam as economias nacionais não apenas em termos de progresso econômico, mas também como um instrumento para a independência política, a soberania militar e a segurança nacional. Assim, a “ameaça externa” é utilizada para priorizar objetivos estratégicos e direcionar a estrutura produtiva e a geração de renda para determinados setores considerados mais relevantes. Por fim, argumenta-se que essa concepção se encontra ausente no pensamento latino-americano e origina a disciplina de Economia Política Internacional.		[FIORI, JOSÉ LUÍS] Universidade Federal do Rio de Janeiro, Brazil; [PADULA, RAPHAEL] Universidade Federal do Rio de Janeiro, Brazil					17	0	0	0	0	Editora 34			1809-4538	06	2019	39	2	236	252	10.1590/0101-35172019-2905	Economics; Political Science	SciELO Brazil	Business & Economics; Government & Law	SCIELO:S0101-31572019000200002	gold				
J	FANDIÑO, PEDRO; KERSTENETZKY, CELIA LESSA		O paradoxo constitucional brasileiro: direitos sociais sob tributação regressiva	The Brazilian constitutional paradox: social rights cum regressive taxation			Brazilian Journal of Political Economy	Portuguese	research-article	Brazilian 1988 Constitution; constitutional paradox; progressive taxation		Constituição de 1988; paradoxo da Constituição; tributação progressiva		ABSTRACT This essay reviews the Brazilian Constitutional paradox, the combination of expansion of social rights cum regressive taxation, by tracing it back to the Constitution-making process. This process shows the regressive feature of the Brazilian tax system, which originates in the so-called 1988 Citizen Constitution, not to derive from the absence of a thorough, technically consistent, proposal of progressive taxation. This reinforces the cogency of the political hypothesis: “social expenditure, no problem, provided the taxation is not progressive”.		RESUMO Este ensaio analisa o paradoxo constitucional brasileiro, de combinar expansão de direitos sociais com tributação regressiva, remetendo-o ao momento constituinte de 1987. O que esse momento revela é que a atual configuração regressiva do sistema tributário brasileiro, cuja origem se encontra na “Constituição cidadã” de 1988, não decorreu da ausência de uma proposta tecnicamente consistente de tributação progressiva - o que não permite descartar a hipótese política: “gastos sociais, sim, mas tributação progressiva, não”.		[KERSTENETZKY, CELIA LESSA] Universidade Federal do Rio de Janeiro, Brazil; [FANDIÑO, PEDRO] Universidade Federal do Rio de Janeiro, Brazil					43	0	0	0	0	Editora 34			1809-4538	06	2019	39	2	306	327	10.1590/0101-31572019-2914	Economics; Political Science	SciELO Brazil	Business & Economics; Government & Law	SCIELO:S0101-31572019000200006	gold				
J	Corrêa, Ludmila Macedo; Pinto, Eduardo Costa; Castilho, Marta dos Reis		Mapeamento dos padrões de atuação dos países nas Cadeias Globais de Valor e os ganhos em termos de mudança estrutural	Mapping the action patterns of countries in Global Value Chains and the gains in terms of structural change			Economia e Sociedade	Portuguese	research-article	Global Value Chain; Upgrading; Productive stage; Structural change; Cluster analysis		Cadeias Globais de Valor; Upgrading; Estágio produtivo; Mudança estrutural; Análise de cluster		Abstract This article aims to map the patterns of actions carried out by countries in Global Value Chains (GVC) and their gains, in order to identify under which circumstances such actions were accompanied by structural change. These patterns refer to the insertion of countries in GVC and possible evolutions through different types of upgrading. The mapping was carried out using a sample of 40 countries between 1995 and 2008, with 12 indicators that captured characteristics of the participation in this process. Due to the amount of information, we used cluster analysis, which combined with other analytical criteria, identified six patterns of insertion and upgrading of countries in global chains related to structural change potential. It was found that the intensity of structural change is associated with specific action patterns in the chains related to functional and chain upgrading, and by the latter, the structural change occurring only in countries located at the initial productive stage.		Resumo Este artigo tem como objetivo mapear padrões de atuação dos países nas Cadeias Globais de Valor (CGV) e os respectivos ganhos, identificando-se sob quais circunstâncias tal atuação foi acompanhada de mudança estrutural. Os padrões de atuação referem-se à inserção dos países nas CGV e possíveis evoluções por meio dos diferentes tipos de upgrading. O mapeamento foi feito com uma amostra de 40 países entre 1995 e 2008, utilizando-se 12 indicadores que captaram características inerentes à participação neste processo. Em função da quantidade de informação, foi utilizada a análise de clusters, que associada a outros critérios analíticos, permitiu identificar seis padrões de inserção e upgrading dos países nas cadeias globais relacionados ao potencial de mudança estrutural. Verificou-se que a intensidade da mudança estrutural associa-se a padrões específicos de atuação nas cadeias referentes ao upgrading funcional e de cadeia, sendo que por este último, a mudança estrutural ocorrendo apenas em países situados em estágios produtivos iniciais.		[Corrêa, Ludmila Macedo] Universidade Federal Rural do Rio de Janeiro, Brazil; [Pinto, Eduardo Costa] Universidade Federal do Rio de Janeiro, Brazil; [Castilho, Marta dos Reis] Universidade Federal do Rio de Janeiro, Brazil					31	0	0	1	1	Instituto de Economia da Universidade Estadual de Campinas			1982-3533	04	2019	28	1	89	122	10.1590/1982-3533.2019v28n1art06	Economics; Sociology	SciELO Brazil	Business & Economics; Sociology	SCIELO:S0104-06182019000100007	gold				
J	Martins, Fábio Garrido Leal; Campani, Carlos Heitor		Quem perde e quem ganha com a PEC 287/2016? Uma análise pela variação da riqueza atuarial do segurado urbano brasileiro do Regime Geral de Previdência Social	¿Quién pierde y quién gana con la PEC 287/2016? Un análisis por la variación de la riqueza actuarial del beneficiario urbano del Sistema Brasileño de Seguridad Social	Who loses and who wins with the PEC 287/2016? An analysis of the pension wealth variation for the urban beneficiary of Brazilian Social Security System.		Revista de Administração Pública	Portuguese	research-article	social security; pension reform; transitional rules; actuarial wealth; actuarial neutrality	previsión social; reforma previsional; regla de transición; riqueza actuarial; neutralidad actuarial	previdência social; reforma previdenciária; regras de transição; riqueza atuarial; neutralidade atuarial		Abstract This study calculates the impact of the changes in the individual pension wealth due to the proposed constitutional amendment 287/2016 that provides on the retirement eligibility age, benefit replacement rate, benefit accrual formula, and reduced percentage of family benefits. It uses the expected cash flow in actuarial net present value for the contributions and benefits of voluntary retirement, disability retirement, and death pension, in addition to family benefits. The results show that the most affected, are those of almost full retirement age with little contribution time. However, surprisingly, for groups with a high contribution period (more than 29 years for men and 21 for women) and aged between 45 and 55 years for men and between 40 and 54 for women there is an actuarial wealth gain.	Resumen Este estudio mensura la alteración de riqueza del asegurado por la reforma de la Propuesta de Enmienda a la Constitución (PEC) 287/2016, con la creación del peaje fiscal y alteraciones en el tiempo mínimo de contribución, factores de reposición, media de las contribuciones y porcentual de reversión de las pensiones. Se propone uso del indicador valor presente neto actuarial aplicado al flujo de caja esperado de las contribuciones y beneficios de jubilación programada, por invalidez y pensión por muerte, además de la reversión al cónyuge con continuidad a hijos menores. Los más afectados negativamente son aquellos con edad próxima a la jubilación por edad y poco tiempo de contribución. Sin embargo, para grupos con gran tiempo de contribución (más de 29 años para hombres y de 21 para mujeres) y edades entre 45 y 55 años para hombres y entre 40 y 54 para mujeres hay un sorprendente beneficio de riqueza actuarial.	Resumo Este estudo mensura a alteração de riqueza do segurado pela reforma da Proposta de Emenda à Constituição n. 287/2016 (PEC 287, 2016), com a criação do pedágio e alterações na idade mínima, fatores de reposição, média dos salários de contribuição e percentual de reversão das pensões. Propõe-se o uso do indicador valor presente líquido atuarial aplicado ao fluxo de caixa esperado das contribuições e benefícios de aposentadoria programada, por invalidez e pensão por morte, além da reversão a cônjuge com continuidade a filhos menores. Os mais atingidos negativamente são aqueles com idade próxima à aposentadoria por idade e pouco tempo de contribuição. Porém, para grupos com grande tempo de contribuição (mais de 29 anos para homens e 21 para mulheres) e idades entre 45 e 55 anos, para homens, e entre 40 e 54 anos, para mulheres, há um surpreendente ganho de riqueza atuarial.		[Martins, Fábio Garrido Leal; Campani, Carlos Heitor] Universidade Federal do Rio de Janeiro, Brazil			Campani, Carlos Heitor/0000-0003-1896-7837; Martins, Fabio/0000-0001-8845-2404		58	0	0	2	2	Fundação Getulio Vargas			1982-3134	04	2019	53	2	432	460	10.1590/0034-761220180062	Management; Public Administration	SciELO Brazil	Business & Economics; Public Administration	SCIELO:S0034-76122019000200432	gold				
J	Paiva, Daniele Moraes Electo de; Freitas, Marcos Aurélio Vasconcelos; Barbosa, Maria Claudia; Pizzolato, Nelio D.		Assessing the environmental management and operational efficiency of Brazilian public ports that export soybeans	Evaluación de la eficiencia de la gestión ambiental y eficiencia operacional de puertos públicos brasileños que exportan soja	Avaliação da eficiência da gestão ambiental e eficiência operacional de portos públicos brasileiros que exportam soja		Revista de Administração Pública	English	research-article	Data Envelopment Analysis (DEA); environmental efficiency; synanthropic	análisis por envoltura de datos; eficiencia medioambiental; sinantrópica	análise por envelopamento de dados; eficiência ambiental; sinantrópica		Abstract Using Data Envelopment Analysis (DEA), seven public ports in Brazil that trade soybeans had their environmental management assessed. Data regarding the management of sewage, solid waste, and of the presence of synanthropic fauna in public ports was used along with the port environmental index created by ANTAQ in the analysis. The results show that the quality of the environmental management needs to be addressed, so the efficiency of the system can be reached, and that DEA can be a useful tool.	Resumen Se evaluaron siete puertos públicos brasileños de embarque de soja en cuanto a su gestión ambiental usando el análisis por envoltura de datos (DEA). Para el análisis, los datos referentes a la gestión de efluentes líquidos, residuos sólidos, y presencia de fauna sinantrópica en esos puertos se utilizaron en conjunto con el Índice de Desempeño Ambiental de la ANTAQ (Agencia Nacional de Transportes Acuáticos). Los resultados muestran que la calidad de la gestión ambiental debe abordarse para que el sistema sea eficiente en su totalidad, y para ello, el DEA puede ser una herramienta útil.	Resumo Sete portos públicos brasileiros que movimentam soja foram avaliados quanto a sua gestão ambiental usando-se Análise por Envelopamento de Dados (DEA). Para a análise, os dados referentes ao gerenciamento de efluentes líquidos, resíduos sólidos, e presença de fauna sinantrópica nesses portos foram utilizados em conjunto com o Índice de Desempenho Ambiental da ANTAQ. Os resultados mostram que a qualidade da gestão ambiental precisa ser abordada para que o sistema seja eficiente como um todo, e para isso, DEA pode ser uma ferramenta útil.		[Freitas, Marcos Aurélio Vasconcelos] Universidade Federal do Rio de Janeiro, Brazil; [Pizzolato, Nelio D.] Pontifícia Universidade Católica do Rio de Janeiro, Brazil; [Paiva, Daniele Moraes Electo de; Barbosa, Maria Claudia] Universidade Federal do Rio de Janeiro, Brazil					23	0	0	1	1	Fundação Getulio Vargas			1982-3134	04	2019	53	2	492	504	10.1590/0034-761220170311	Management; Public Administration	SciELO Brazil	Business & Economics; Public Administration	SCIELO:S0034-76122019000200492	gold				
J	Medeiros, Felipe Lima de; Prado, Luiz Carlos Delorme		A Teoria Protoindustrial: origem, desenvolvimento e atualidade				Estudos Econômicos (São Paulo)	Portuguese	research-article	Proto-industry; Industrialization; Rural Industry; Industrial Revolution; Putting-out System		Protoindústria; Industrialização; Indústria rural; Revolução Industrial; Putting-out System		Abstract Before the Industrial Revolution itself, the industry was expanding in Europe both in total product as occupied labor. This expansion took place under a very different production regime that would characterize the Industrial Revolution. Franklin Mendels called this regime as proto-industry and argued that its development was a catalyst for the subsequent modern industrialization. Mendels thus created a line of research that has been developed and criticized by several authors. This work resumes protoindustrial theory and its major developments as well as reevaluates its criticism and its current heuristic power.		Resumo Antes da Revolução Industrial propriamente dita, a indústria estava em expansão na Europa tanto em produto total como em mão de obra ocupada. Essa expansão ocorreu sob um regime produtivo bastante diferente do que viria a caracterizar a Revolução Industrial. Franklin Mendels batizou esse regime de protoindústria e defendeu que seu desenvolvimento foi um catalisador para a industrialização moderna posterior. Mendels criou assim uma linha de pesquisa que foi desenvolvida e criticada por diversos autores. Este trabalho retoma a teoria protoindustrial e seus principais desenvolvimentos assim como reavalia suas críticas e seu poder heurístico atual.		[Prado, Luiz Carlos Delorme] Universidade Federal do Rio de Janeiro, Brazil; [Medeiros, Felipe Lima de] Instituto Brasileiro de Economia e Estatística, Brasil			Prado, Luiz Carlos Delorme/0000-0001-8269-2853; lima de medeiros, felipe/0000-0002-8571-8032		38	0	0	0	0	Departamento de Economia; Faculdade de Economia, Administração e Contabilidade da Universidade de São Paulo (FEA-USP)			1980-5357	03	2019	49	1	131	161	10.1590/0101-41614915fml	Economics	SciELO Brazil	Business & Economics	SCIELO:S0101-41612019000100131	gold				
