PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Bastos, Pedro Paulo Zahluth		A economia política do novo-desenvolvimentismo e do social desenvolvimentismo	The political economy of new developmentalism and social developmentalism in Brazil			Economia e Sociedade	Portuguese	research-article	Developmentalism; State; Market		Desenvolvimentismo; Estado; Mercado		The article proposes a classification of two basic views on the strategy of capitalist development after the neoliberalism crisis in Brazil: the private sector's export-oriented developmentalism ("newdevelopmentalism"), and state-led distributive developmentalism. Both views bring back the state's role in guiding the development model, but with different ways of relating to the market. After a brief introduction, the two views are discussed, and the article concludes with a discussion of their political prospects.		O artigo propõe uma classificação das duas visões básicas a propósito da estratégia de desenvolvimento capitalista depois da crise do neoliberalismo, no Brasil: o desenvolvimentismo exportador do setor privado ("novo-desenvolvimentismo") e o desenvolvimentismo distributivo orientado pelo Estado ("social-desenvolvimentismo"). Ambos resgatam o papel do Estado na orientação do modelo de desenvolvimento, mas com modos diferentes de relação com o mercado. Depois de uma breve introdução, as duas visões são discutidas, concluindo-se com uma discussão de suas possibilidades políticas.		[Bastos, Pedro Paulo Zahluth] Universidade Estadual de Campinas, Brazil					68	18	24	0	2	Instituto de Economia da Universidade Estadual de Campinas	Campinas	Campinas	1982-3533	12	2012	21	spe	779	810	10.1590/S0104-06182012000400004	Economics; Sociology	SciELO Brazil	Business & Economics; Sociology	SCIELO:S0104-06182012000400004	gold				
J	Carneiro, Ricardo de Medeiros		Velhos e novos desenvolvimentismos	New and old developmentalisms			Economia e Sociedade	Portuguese	research-article	Brazil; Economic thought; Developmentalism		Brasil; Pensamento econômico; Desenvolvimentismo		In the second half of the 2000s, there was renewed growth and income distribution in both Brazil specifically and South America in general. This growth followed the failure of neoliberalism (and also of its lighter cousin, the Washington Consensus) to promote economic growth, and more significantly, to reduce social inequality in the region. This all contributed to the rise and reformation of old paradigms of economic policies. The global financial crisis and the challenges to development in the core economies have given strength, at least in the peripheral countries, to the quest for and the consolidation of these new kinds of economic policies. This article aims to examine how these changes have influenced developmentalist thinking in Brazil, and how they have recently given rise to new schools of thought regarding Brazil's development. It also examines the relationship between these schools of thought and the new development strategy that is currently in place.		Na segunda metade dos anos 2000, a retomada do crescimento com distribuição da renda no Brasil e na América do Sul, após o fracasso do neoliberalismo e sua variante suavizada, o Consenso de Washington, ao promover o crescimento econômico e reduzir significativamente a desigualdade social na região, contribuiu para o ressurgimento e atualização de antigos paradigmas de políticas econômicas. A crise financeira global e os impasses do desenvolvimento nas economias centrais deram força, ao menos nos países periféricos, à busca e consolidação desses novos perfis de política econômica. Este artigo propõe-se a examinar como tais mudanças influenciaram o pensamento desenvolvimentista no Brasil, dando origem, no período recente, a novas correntes interpretativas do desenvolvimento brasileiro e suas relações com a estratégia inovadora de desenvolvimento em curso.		[Carneiro, Ricardo de Medeiros] Banco Interamericano de Desenvolvimento, USA; [Carneiro, Ricardo de Medeiros] Universidade Estadual de Campinas, Brazil					22	15	22	1	2	Instituto de Economia da Universidade Estadual de Campinas	Campinas	Campinas	1982-3533	12	2012	21	spe	749	778	10.1590/S0104-06182012000400003	Economics; Sociology	SciELO Brazil	Business & Economics; Sociology	SCIELO:S0104-06182012000400003	gold				
J	Suzigan, Wilson; Furtado, João		Política industrial e desenvolvimento	Industrial policy and development			Revista de Economia Política	Portuguese	research-article	industry; industrial policy; innovation; technology; development				This paper aims at contributing to the debate on industrial policy and economic development in Brazil. At first, theoretical approaches that support industrial policy-making are discussed, with emphasis on the neoschumpeterian/evolutionary approach, which focuses on innovation as prime mover of economic development and on the co-evolution of technologies, institutions, and industries and firms structures. Next, such an approach is applied to explain some successful experiences of industrial policy-making and economic development in Brazil up to the end of the 1970s, and the failures to implement such a policy from the 1980s onwards. Finally, the present government industrial policy is evaluated, arguing that although it has some positive aspects like the focus on innovation, clearly defined targets and a new institutional organization, it fails as an economic development policy because of weaknesses such as incompatibility with macroeconomic policy, inconsistencies of policy instruments, deficiencies in infrastructure and in the science, technology and innovation system, and lack of coordination and political drive.				[Furtado, João] Universidade de São Paulo, Brazil; [Suzigan, Wilson] Universidade Estadual de Campinas, Brazil					14	13	24	0	5	Editora 34	São Paulo	São Paulo	1809-4538	06	2006	26	2	163	185	10.1590/S0101-31572006000200001	Economics; Political Science	SciELO Brazil	Business & Economics; Government & Law	SCIELO:S0101-31572006000200001	gold				
J	Rohrich, Sandra Simm; Cunha, João Carlos da		A proposição de uma taxonomia para análise da gestão ambiental no Brasil				Revista de Administração Contemporânea	Portuguese	research-article	environmental management; technology innovation; NBR ISO 14001		gestão ambiental; inovação tecnológica; NBR ISO 14.001		Organizations have shown different behavior patterns in terms of the aspects concerning environmental management, even when they follow a certified system of environmental management according to NBR ISO 14.001. Such differences are present at the level of procedures, applied resources, control instruments and impacts related to other activities in the company. This work aims at the proposal of a taxonomy for the environmental management of industrial organizations, with a formal system of environmental management, and also the analysis of this environmental management with the adopted product and process technologies. A research was conducted in 37 industrial organizations in Brazil, and the quantitative analysis of the data used the factorial analysis technique, the Kruskal-wallis statistical test, and the cluster analysis. The results of this study allowed the improvement of the model of classification of companies in terms of environmental politics proposed by Hunt and Auster (1990). Six factors were identified for the analysis of the variable environmental management, characterized as control, prevention (formalization, growth, prevention and prevention chain) and proactivity. As for the companies, the cluster analysis allowed the identification of the three groups of companies: control, prevention and proactivity, which assigned more emphasis respectively to the control, prevention and proactivity factors, in increasing order of emphasis. These groups also showed various behavior patterns in terms of technological innovations of process, and origin of the adopted technologies.		Este trabalho propõe uma taxonomia para sistemas de gestão ambiental de organizações industriais e analisa a relação da gestão ambiental com a inovação tecnológica adotada. As organizações têm demonstrado comportamentos diferenciados quanto às políticas de gestão, recursos aplicados e instrumentos de controle de gestão ambiental, mesmo quando têm um Sistema de Gestão Ambiental certificado. A pesquisa foi realizada em 37 organizações industriais no Brasil e os dados foram analisados com as técnicas de análise fatorial, o teste estatístico Kruskal-wallis e a análise de Clusters. O estudo propõe um modelo de seis fatores para análise da gestão ambiental nas empresas: controle, prevenção (formalização, crescimento, prevenção e cadeia de prevenção) e proatividade. As empresas pesquisadas, certificadas pela norma ISO 14.001, enquadraram-se em três grupos: controle, prevenção e proatividade. O modelo sugerido demonstrou ser válido como um aperfeiçoamento do modelo de classificação da política ambiental proposto por Hunt e Auster (1990). Os diversos grupos de empresas diferenciaram-se também em termos de comportamentos quanto às inovações tecnológicas de processo e origem das tecnologias adotadas.		[Rohrich, Sandra Simm] Faculdades SPEI, Brasil; [Cunha, João Carlos da] Universidade Federal do Paraná, Brazil; [Rohrich, Sandra Simm] Universidade Estadual de Campinas, Brazil					17	13	26	0	4	Associação Nacional dos Programas de Pós-graduação em Administração	Curitiba	Curitiba	1982-7849	12	2004	8	4	81	97	10.1590/S1415-65552004000400005	Management	SciELO Brazil	Business & Economics	SCIELO:S1415-65552004000400005	gold				
J	Faria, Flavia Peixoto; Jannuzzi, Paulo de Martino; Silva, Silvano José da		Eficiência dos gastos municipais em saúde e educação: uma investigação através da análise envoltória no estado do Rio de Janeiro	Efficiency of municipal expenditure in health and education: an investigation using data envelopment analysis in the state of Rio de Janeiro, Brazil			Revista de Administração Pública	Portuguese	research-article	efficiency; public expenses; social indicators; DEA		eficiência; gasto público; indicadores sociais; DEA		This article analyzes the efficiency of the public spending in cities and towns of the state of Rio de Janeiro during 1999-2000 applying data envelopment analysis. The study adopted social indicators of municipal expenses in following thematic areas of the social reality: education and culture; health and sanitation. The article reviews several DEA applications to public policies and then presents the indicators and models considered for social expenditure efficiency analysis. It adopted the BCC output model of DEA, so as to maximize outputs without decreasing inputs. Indicators of per capita expenditure on education and culture and on health and sanitation were used as inputs of the model in question. The ‘candidates’ for outputs were the following well-being indicators: literacy rate of 10-14 year-old children; ratio of permanent private homes with adequate sanitary disposal; ratio of permanent private homes with proper sanitation; the inverse of mortality rate by sanitation causes; ratio of 2-5 year-old children registered at day child-care centers or children schools. The analysis indicated as ‘good practices’, considering the efficiency of their public expenditure, the cities of São Gonçalo, Japeri, Queimados, Cantagalo, São João de Meriti, and Resende, due to the results they achieve in terms either of resource allocation or of medium revenue.		Este artigo analisa a eficiência dos gastos públicos nos municípios fluminenses no período 1999/2000, por meio da aplicação da análise envoltória de dados. O estudo adota os indicadores sociais e de gastos municipais das seguintes áreas temáticas da realidade social: educação e cultura; saúde e saneamento. O artigo apresenta uma revisão de várias aplicações de DEA no campo das políticas públicas e, em seguida, os indicadores e modelos propostos para análise da eficiência dos gastos sociais. Aplicou-se o modelo BCC da DEA, com orientação output, isto é, visando maximizar os outputs sem diminuir os inputs. Foram selecionados indicadores de despesas per capita com educação e cultura e com saúde e saneamento como inputs do modelo em questão. Já as variáveis "candidatas" a outputs foram definidas como: taxa de alfabetização de 10 a 14 anos; proporção de domicílios particulares permanentes com esgotamento sanitário adequado; proporção de domicílios particulares permanentes com saneamento adequado; o inverso da taxa de mortalidade por causas hídricas; a proporção de crianças de dois a cinco anos matriculadas em creches ou escolas de educação infantil. O artigo destaca como "boas práticas", no que se refere à eficiência das políticas públicas, pelos resultados que alcançam em termos do que alocam como recursos ou pelas condições de renda média, os municípios de São Gonçalo, Japeri, Queimados, Cantagalo, São João de Meriti e Resende.		[Jannuzzi, Paulo de Martino] Universidade Estadual de Campinas, Brazil		Jannuzzi, Paulo/B-4532-2014	Jannuzzi, Paulo/0000-0003-3528-7497		12	10	26	0	6	Fundação Getulio Vargas	Rio de Janeiro	Rio de Janeiro	0034-7612	02	2008	42	1	155	177	10.1590/S0034-76122008000100008	Management; Public Administration	SciELO Brazil	Business & Economics; Public Administration	SCIELO:S0034-76122008000100008	gold				
J	Cano, Wilson		A desindustrialização no Brasil	Deindustralization in Brazil			Economia e Sociedade	Portuguese	research-article	Industrialization; Deindustrialization; Development Policies		Industrialização; Desindustrialização; Políticas de desenvolvimento		The text analyzes the contemporary deindustrialization of Brazil and some of its impasses in terms of macroeconomic policies. The level of industrialization that was reached in previous decades has deteriorated because of the lack of policies on industry and development and the combination of high interest rates, lack of investment, overvalued exchange rates and exaggerated trade openness. In this context, harmful deindustrialization occurs. It weakens and undermines the country's economy. In the absence of a macroeconomic policy in line with industrial policy, development is compromised. In these terms, underdevelopment is not a phase or a bump in the road, but a process that began with Brazil's involvement in the international capitalist market in the nineteenth century - a process which Brazil has yet to complete.		O texto analisa a desindustrialização em marcha no Brasil e alguns dos impasses da política macroeconômica. A industrialização atingida nas décadas anteriores deteriorou-se face à ausência de políticas industriais e de desenvolvimento e da conjugação de juros elevados, falta de investimento, câmbio sobrevalorizado e exagerada abertura comercial. Nesse contexto, ocorre uma desindustrialização nociva que fragiliza o país e compromete sua economia. Na ausência de uma política macroeconômica consentânea com a política industrial, o desenvolvimento fica comprometido. Por sua vez, cabe lembrar que o subdesenvolvimento não representa uma etapa ou acidente de percurso, mas um processo que se inicia com a inserção no mercado internacional capitalista no século XIX e, desse processo, o Brasil ainda não se libertou.		[Cano, Wilson] Universidade Estadual de Campinas, Brazil					18	9	16	1	2	Instituto de Economia da Universidade Estadual de Campinas	Campinas	Campinas	1982-3533	12	2012	21	spe	831	851	10.1590/S0104-06182012000400006	Economics; Sociology	SciELO Brazil	Business & Economics; Sociology	SCIELO:S0104-06182012000400006	gold				
J	Hoffmann, Rodolfo		Desigualdade da renda e das despesas per capita no Brasil, em 2002-2003 e 2008-2009, e avaliação do grau de progressividade ou regressividade de parcelas da renda familiar	Income and spending inequality in Brazil in 2002-2003 and 2008-2009 and an evaluation of the degree of progressivity or regressivity of components of family income			Economia e Sociedade	Portuguese	research-article	Income distribution; Pensions; Government income transfers; Bolsa Família; Inequality		Distribuição da renda; Aposentadorias; Bolsa Família; Transferências de renda; Desigualdade		Using data from the 2008-2009 Brazilian Family Budgets Survey, this paper analyzes the main characteristics of the per capita family income distribution in Brazil and its regions, compared to results obtained from the 2002-2003 Survey. The distribution of total spending per capita is also analyzed. Finally, the way in which the components of family income contributed to the increase or decrease in the country's income distribution in 2008-2009 is examined. It is shown that pensions of public servants are a strongly regressive component of the per capita family income, and that transfers from federal social programs are progressive, especially the Bolsa Família program.		Utilizando os dados da Pesquisa de Orçamentos Familiares (POF) de 2008-2009, são analisadas as principais características da distribuição da renda familiar per capita (RFPC) no Brasil e em seis regiões, comparando com resultados obtidos da POF de 2002-2003. Também é analisada a distribuição da despesa total per capita. Finalmente, verifica-se como várias parcelas da renda familiar contribuem para aumentar ou reduzir a desigualdade no país em 2008-2009. Constata-se que as aposentadorias e pensões de funcionários públicos são uma parcela fortemente regressiva. Por outro lado, as transferências de programas sociais federais são fortemente progressivas, com destaque para o Bolsa Família.		[Hoffmann, Rodolfo] Universidade Estadual de Campinas, Brazil					9	9	15	0	1	Instituto de Economia da Universidade Estadual de Campinas	Campinas	Campinas	1982-3533	12	2010	19	3	647	661	10.1590/S0104-06182010000300010	Economics; Sociology	SciELO Brazil	Business & Economics; Sociology	SCIELO:S0104-06182010000300010	gold				
J	Prates, Daniela Magalhães		As assimetrias do sistema monetário e financeiro internacional	The asymmetries of the international monetary and financial			Revista de Economia Contemporânea	Portuguese	research-article	financial crises; emergent countries; international monetary; financial system; center-periphery; capital flows		crises financeiras; países emergentes; sistema monetário; financeiro internacional; centro-periferia; fluxos de capitais		The purpose of this article is to develop an heterodox interpretation of the financial crises of the so called "emergent countries" occurred in the 90s. It argues that the asymmetries of the international monetary and financial system explain the greater vulnerability of these countries to those crises. Such asymmetries also give rise to two particularities that underlines their twin character (currency and bank crises) in the "emergent" countries: the dollarization and the indebtedness in foreign currencies.		Este artigo pretende avançar na compreensão das causas da maior vulnerabilidade dos países "emergentes" às crises financeiras nos anos 90 a partir de uma abordagem heterodoxa. Argumenta-se que as assimetrias do sistema monetário e financeiro internacional contemporâneo contribuem para explicar essa maior vulnerabilidade, bem como a tendência ao endividamento em moeda estrangeira e à dolarização, fatores subjacentes à recorrência de crises gêmeas - cambiais e bancárias - nesses países.		[Prates, Daniela Magalhães] Universidade Estadual de Campinas, Brazil					52	9	11	0	0	Instituto de Economa da Universidade Federal do Rio de Janeiro	Rio de Janeiro	Rio de Janeiro	1980-5527	08	2005	9	2	263	288	10.1590/S1415-98482005000200002	Economics	SciELO Brazil	Business & Economics	SCIELO:S1415-98482005000200002	gold				
J	Suzigan, Wilson; Albuquerque, Eduardo da Motta e		The underestimated role of universities for the Brazilian system of innovation				Revista de Economia Política	English	research-article	interaction between universities and firms; historical roots; science; technology				Conventional wisdom usually underestimates the important role of public research institutes and universities in successful cases of Brazilian economy. History of science and technology institutions shows a long-term process of formation of these institutions and their interactions with industrial firms, agricultural producers or society. This paper investigates historical roots of successful cases of Brazil. First, we present the late onset of National Innovation System (NSI) institutions and waves of institutional formation in Brazil. Second, we describe the history of three selected successful cases, which spans from a low-tech sector (agriculture), a medium-tech sector (steel and special metal alloys), to a high-tech sector (aircraft). These findings present new challenges for present-day developmental policies.				[Albuquerque, Eduardo da Motta e] Universidade Federal de Minas Gerais, Brazil; [Suzigan, Wilson] Universidade Estadual de Campinas, Brazil		Albuquerque, Eduardo/K-5225-2012	Albuquerque, Eduardo/0000-0002-1591-875X; Suzigan, Wilson/0000-0002-2193-4756		48	8	23	0	4	Editora 34	São Paulo	São Paulo	1809-4538	03	2011	31	1	03	30	10.1590/S0101-31572011000100001	Economics; Political Science	SciELO Brazil	Business & Economics; Government & Law	SCIELO:S0101-31572011000100001	gold				
J	Suzigan, Wilson; Furtado, João		Instituições e políticas industriais e tecnológicas: reflexões a partir da experiência brasileira				Estudos Econômicos (São Paulo)	Portuguese	research-article	industry; technology; institutions; industrial policy; technology policy		indústria; tecnologia; instituições; política industrial; política tecnológica		On the basis of Brazilian institutions and policies for industry and technology, and taking as reference some successful international experiences, this paper investigates the reasons why, even when they are well formulated, industrial and technology policies face serious implementation problems in countries that are trying to catch up with the leading industrial economies. The results show that most of the problems are related to the "aging" of institutions, which are locked into old practices of policy-making, and also to the weakening of their political and financial position vis-à-vis macroeconomic policy institutions. The paper suggests the need of an institutional reform, although recognizing that such reform faces difficult technical and above all political obstacles.		Tomando por base as instituições e as políticas industriais e tecnológicas brasileiras, e tendo como referência algumas experiências internacionais bem-sucedidas, este artigo investiga as razões pelas quais, mesmo quando bem formuladas, as políticas industriais e tecnológicas enfrentam problemas de implementação em países que buscam se emparelhar, em termos industriais e tecnológicos, às economias líderes. Os resultados mostram que grande parte dos problemas decorre do "envelhecimento" das instituições, aprisionadas por práticas antigas de fazer políticas, e do seu enfraquecimento - político e financeiro - comparativamente às instituições de política macroeconômica, sugerindo a necessidade de reforma das instituições. Essa reforma, entretanto, teria de superar obstáculos técnicos e, sobretudo, políticos.		[Furtado, João] Universidade de São Paulo, Brazil; [Suzigan, Wilson] Universidade Estadual de Campinas, Brazil			Suzigan, Wilson/0000-0002-2193-4756		24	8	11	0	0	Faculdade de Economia, Administração e Contabilidade da Universidade de São Paulo (FEA-USP)	São Paulo	São Paulo	1980-5357	03	2010	40	1	7	41	10.1590/S0101-41612010000100001	Economics	SciELO Brazil	Business & Economics	SCIELO:S0101-41612010000100001	gold				
